X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
-118.370000000002,33.9778999998431,641,WL044,,NE,NB,LA TIJERA FS CENTINELA,1983/05/04 00:00:00+00,11,673,A7,A,AD SHELTERS,LOS ANGELES,33.9779,-118.37,Type: AD SHELTERS\nLocation:  LA TIJERA FS CENTINELA\nCouncil District:  11\nDate:  5/4/1983\nSerial: WL044\nPermit:  
-118.307000000181,33.789400000184,642,HD034,,NE,WB,PAC COAST HWY NS WESTERN,1988/12/01 00:00:00+00,15,794,A5,A,AD SHELTERS,LOS ANGELES,33.7894,-118.307,Type: AD SHELTERS\nLocation:  PAC COAST HWY NS WESTERN\nCouncil District:  15\nDate:  12/1/1988\nSerial: HD034\nPermit:  
-118.286999999875,33.7410999998947,643,HD021,,NE,NB,PACIFIC FS 3RD,1983/04/19 00:00:00+00,15,824,B5,A,AD SHELTERS,LOS ANGELES,33.7411,-118.287,Type: AD SHELTERS\nLocation:  PACIFIC FS 3RD\nCouncil District:  15\nDate:  4/19/1983\nSerial: HD021\nPermit:  
-118.286999999875,33.7410999998947,644,HD022,,SW,SB,PACIFIC FS 3RD,1983/04/19 00:00:00+00,15,824,B5,A,AD SHELTERS,LOS ANGELES,33.7411,-118.287,Type: AD SHELTERS\nLocation:  PACIFIC FS 3RD\nCouncil District:  15\nDate:  4/19/1983\nSerial: HD022\nPermit:  
-118.286899999866,33.7392000001333,645,HD023,,NW,SB,PACIFIC NS 5TH,1983/04/19 00:00:00+00,15,824,B5,A,AD SHELTERS,LOS ANGELES,33.7392,-118.2869,Type: AD SHELTERS\nLocation:  PACIFIC NS 5TH\nCouncil District:  15\nDate:  4/19/1983\nSerial: HD023\nPermit:  
-118.286899999866,33.7392000001333,646,HD024,,SE,NB,PACIFIC NS 5TH,1983/04/19 00:00:00+00,15,824,B5,A,AD SHELTERS,LOS ANGELES,33.7392,-118.2869,Type: AD SHELTERS\nLocation:  PACIFIC NS 5TH\nCouncil District:  15\nDate:  4/19/1983\nSerial: HD024\nPermit:  
-118.286999999875,33.7374000000713,647,HD025,,NW,SB,PACIFIC NS 7TH,1983/04/21 00:00:00+00,15,824,B5,A,AD SHELTERS,LOS ANGELES,33.7374,-118.287,Type: AD SHELTERS\nLocation:  PACIFIC NS 7TH\nCouncil District:  15\nDate:  4/21/1983\nSerial: HD025\nPermit:  
-118.286799999858,33.7347000001348,648,HD078,,NW,SB,PACIFIC NS 11TH,1993/12/16 00:00:00+00,15,824,B6,A,AD SHELTERS,LOS ANGELES,33.7347,-118.2868,Type: AD SHELTERS\nLocation:  PACIFIC NS 11TH\nCouncil District:  15\nDate:  12/16/1993\nSerial: HD078\nPermit:  
-118.2855000002,33.7503000000861,649,HD109,,SE,NB,PACIFIC NS FRONT,2001/10/05 00:00:00+00,15,824,B3,D2MG,AD SHELTERS,LOS ANGELES,33.7503,-118.2855,Type: AD SHELTERS\nLocation:  PACIFIC NS FRONT\nCouncil District:  15\nDate:  10/5/2001\nSerial: HD109\nPermit:  
-118.286599999842,33.7229999998558,650,HD104,,SE,NB,PACIFIC NS HAMILTON,2001/10/04 00:00:00+00,15,824,B7,D2MG,AD SHELTERS,LOS ANGELES,33.723,-118.2866,Type: AD SHELTERS\nLocation:  PACIFIC NS HAMILTON\nCouncil District:  15\nDate:  10/4/2001\nSerial: HD104\nPermit:  
-118.287199999891,33.7168000001093,651,HD103,,SE,NB,PACIFIC NS STEPHEN M. WHITE DR.,2001/10/04 00:00:00+00,15,854,B2,D2MG,AD SHELTERS,LOS ANGELES,33.7168,-118.2872,Type: AD SHELTERS\nLocation:  PACIFIC NS STEPHEN M. WHITE DR.\nCouncil District:  15\nDate:  10/4/2001\nSerial: HD103\nPermit:  
-118.290700000181,33.7120000000221,652,HD101,,SE,EB,SHEPARD FS GAFFEY,2001/10/04 00:00:00+00,15,854,B2,D2MG,AD SHELTERS,LOS ANGELES,33.712,-118.2907,Type: AD SHELTERS\nLocation:  SHEPARD FS GAFFEY\nCouncil District:  15\nDate:  10/4/2001\nSerial: HD101\nPermit:  
-118.291200000222,33.7129999998907,653,HD102,,NE,WB,SHEPARD NS GAFFEY,2001/10/04 00:00:00+00,15,854,B2,D2MG,AD SHELTERS,LOS ANGELES,33.713,-118.2912,Type: AD SHELTERS\nLocation:  SHEPARD NS GAFFEY\nCouncil District:  15\nDate:  10/4/2001\nSerial: HD102\nPermit:  
-118.291799999823,33.9421000001112,654,CD219,,SE,NB,VERMONT NS 110TH,1983/02/15 00:00:00+00,15,704,A6,A,AD SHELTERS,LOS ANGELES,33.9421,-118.2918,Type: AD SHELTERS\nLocation:  VERMONT NS 110TH\nCouncil District:  15\nDate:  2/15/1983\nSerial: CD219\nPermit:  
-118.312000000146,33.7234999999483,655,HD119,,NW,SB,WESTERN NS 25TH,2001/10/04 00:00:00+00,15,823,H7,D2MG,AD SHELTERS,LOS ANGELES,33.7235,-118.312,Type: AD SHELTERS\nLocation:  WESTERN NS 25TH\nCouncil District:  15\nDate:  10/4/2001\nSerial: HD119\nPermit:  
-118.30829999984,33.7498000000536,656,HD031,,NE,NB,WESTERN FS CRESTWOOD,1983/12/12 00:00:00+00,15,823,J3,A,AD SHELTERS,LOS ANGELES,33.7498,-118.3083,Type: AD SHELTERS\nLocation:  WESTERN FS CRESTWOOD\nCouncil District:  15\nDate:  12/12/1983\nSerial: HD031\nPermit:  
-118.416100000221,34.0632299998786,657,PI0043,,MX,,Century Park East && Santa Monica Blvd,,5,,,,OSF,Los Angeles,34.06323,-118.4161,Type: OSF\nLocation:  Century Park East && Santa Monica Blvd\nCouncil District:  5\nDate:  \nSerial: PI0043\nPermit:  
-118.413710000069,34.0604099998618,658,PI0044,,SX,,Century Park East && Constellation Blvd,,5,,,,OSF,Los Angeles,34.06041,-118.41371,Type: OSF\nLocation:  Century Park East && Constellation Blvd\nCouncil District:  5\nDate:  \nSerial: PI0044\nPermit:  
-118.413710000069,34.0604099998618,659,PI0046,,SX,,Century Park East && Constellation Blvd,,5,,,,OSF,Los Angeles,34.06041,-118.41371,Type: OSF\nLocation:  Century Park East && Constellation Blvd\nCouncil District:  5\nDate:  \nSerial: PI0046\nPermit:  
-118.413710000069,34.0604099998618,660,PI0047,,SX,,Century Park East && Constellation Blvd,,5,,,,OSF,Los Angeles,34.06041,-118.41371,Type: OSF\nLocation:  Century Park East && Constellation Blvd\nCouncil District:  5\nDate:  \nSerial: PI0047\nPermit:  
-118.415860000022,34.0587300001162,661,PI0050,,MX,,Ave of the Stars && Constellation Blvd,,5,,,,OSF,Los Angeles,34.05873,-118.41586,Type: OSF\nLocation:  Ave of the Stars && Constellation Blvd\nCouncil District:  5\nDate:  \nSerial: PI0050\nPermit:  
-118.415860000022,34.0587300001162,662,PI0051,,MX,,Ave of the Stars && Constellation Blvd,,5,,,,OSF,Los Angeles,34.05873,-118.41586,Type: OSF\nLocation:  Ave of the Stars && Constellation Blvd\nCouncil District:  5\nDate:  \nSerial: PI0051\nPermit:  
-118.415860000022,34.0587300001162,663,PI0053,,MX,,Ave of the Stars && Constellation Blvd,,5,,,,OSF,Los Angeles,34.05873,-118.41586,Type: OSF\nLocation:  Ave of the Stars && Constellation Blvd\nCouncil District:  5\nDate:  \nSerial: PI0053\nPermit:  
-118.418650000208,34.0613300000254,664,PI0054,,MX,,Ave of the Stars && Santa Monica Blvd,,5,,,,OSF,Los Angeles,34.06133,-118.41865,Type: OSF\nLocation:  Ave of the Stars && Santa Monica Blvd\nCouncil District:  5\nDate:  \nSerial: PI0054\nPermit:  
-118.418650000208,34.0613300000254,665,PI0055,,MX,,Ave of the Stars && Santa Monica Blvd,,5,,,,OSF,Los Angeles,34.06133,-118.41865,Type: OSF\nLocation:  Ave of the Stars && Santa Monica Blvd\nCouncil District:  5\nDate:  \nSerial: PI0055\nPermit:  
-118.416100000221,34.0632299998786,666,PI0058,,MX,,Santa Monica Blvd && Century Park East,,5,,,,OSF,Los Angeles,34.06323,-118.4161,Type: OSF\nLocation:  Santa Monica Blvd && Century Park East\nCouncil District:  5\nDate:  \nSerial: PI0058\nPermit:  
